BLOCKID,CD113
350010001182007,01
350010001182008,01
350010001182009,01
350010001182010,01
350010001182011,01
350010001182012,01
350010001182013,01
350010001182014,01
350010001182015,01
350010001191000,01
350010001191001,01
350010001191002,01
350010001191003,01
350010001191004,01
350010001191005,01
350010001191006,01
350010001191007,01
350010001191008,01
350010001191009,01
350010001191010,01
350010001191011,01
350010001191012,01
350010001191013,01
350010001191014,01
350010001191015,01
350010001191016,01
350010001191017,01
350010001191018,01
350010001191019,01
350010001191020,01
350010001191021,01
350010001192000,01
350010001192001,01
350010001192002,01
350010001192003,01
350010001192004,01
350010001192005,01
350010001192006,01
350010001192007,01
350010001192008,01
350010001192009,01
350010001192010,01
350010001192011,01
350010001192012,01
350010001192013,01
350010001192014,01
350010001201000,01
350010001201001,01
350010001201002,01
350010001201003,01
350010001201004,01
350010001201005,01
350010001201006,01
350010001201007,01
350010001201008,01
350010001201009,01
350010001201010,01
350010001201011,01
350010001201012,01
350010001201013,01
350010001201014,01
350010001201015,01
350010001201016,01
350010001201017,01
350010001201018,01
350010001201019,01
350010001201020,01
350010001201021,01
350010001201022,01
350010001201023,01
350010001202000,01
350010001202001,01
350010001202002,01
350010001202003,01
350010001202004,01
350010001202005,01
350010001202006,01
350010001202007,01
350010001202008,01
350010001202009,01
350010001202010,01
350010001202011,01
350010001202012,01
350010001202013,01
350010001202014,01
350010001202015,01
350010001202016,01
350010001211000,01
350010001211001,01
350010001211002,01
350010001211003,01
350010001211004,01
350010001211005,01
350010001211006,01
350010001211007,01
350010001211008,01
350010001211009,01
350010001211010,01
350010001211011,01
350010001211012,01
350010001211013,01
350010001211014,01
350010001211015,01
350010001211016,01
350010001211017,01
350010001212000,01
350010001212001,01
350010001212002,01
350010001212003,01
350010001212004,01
350010001212005,01
350010001212006,01
350010001212007,01
350010001212008,01
350010001212009,01
350010001212010,01
350010001212011,01
350010001212012,01
350010001212013,01
350010001212014,01
350010001212015,01
350010001212016,01
350010001212017,01
350010001212018,01
350010001212019,01
350010001212020,01
350010001212021,01
350010001213000,01
350010001213001,01
350010001213002,01
350010001214000,01
350010001214001,01
350010001214002,01
350010001214003,01
350010001214004,01
350010001214005,01
350010001214006,01
350010001214007,01
350010001214008,01
350010001214009,01
350010001214010,01
350010001214011,01
350010001214012,01
350010001214013,01
350010001214014,01
350010001214015,01
350010001214016,01
350010001214017,01
350010001214018,01
350010001214019,01
350010001214020,01
350010001214021,01
350010001214022,01
350010001215000,01
350010001215001,01
350010001215002,01
350010001215003,01
350010001215004,01
350010001215005,01
350010001215006,01
350010001215007,01
350010001215008,01
350010001215009,01
350010001215010,01
350010001215011,01
350010001221000,01
350010001221001,01
350010001221002,01
350010001221003,01
350010001221004,01
350010001221005,01
350010001221006,01
350010001221007,01
350010001221008,01
350010001221009,01
350010001221010,01
350010001221011,01
350010001221012,01
350010001221013,01
350010001221014,01
