,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
105,1221,311,40337,6793,696345,0.07023293803827504,0.00042797388714757004,116.0,302.0,0.07023293803827504,0.00042797388714757004,116.0,302.0
106,1219,317,16669,20880,696345,0.2077839365502692,0.0025061402316147994,16.0,119.0,0.2077839365502692,0.0025061402316147994,16.0,119.0
107,1216,192,5591,19653,696345,0.5331217447916666,0.022276424080259555,2.0,25.0,0.5331217447916666,0.022276424080259555,2.0,25.0
108,1218,292,31072,18537,696344,0.21740711202852317,0.0007212493278294008,15.0,247.0,0.21740711202852317,0.0007212493278294008,15.0,247.0
109,1227,501,28658,12390,696345,0.04936235313803531,0.000847876707878986,171.0,226.0,0.04936235313803531,0.000847876707878986,171.0,226.0
110,1205,1773,104848,18189,696345,0.005786172165104887,6.334380687711596e-05,430.0,427.0,0.005786172165104887,6.334380687711596e-05,430.0,427.0
111,1208,189,5422,19073,696344,0.5339436185997033,0.023686713732772518,1.0,24.0,0.5339436185997033,0.023686713732772518,1.0,24.0
112,1214,494,47720,15493,696345,0.063486534773558,0.0003057902201231127,129.0,344.0,0.063486534773558,0.0003057902201231127,129.0,344.0
113,1223,345,28853,8906,696345,0.07482461667716866,0.0008364548623102708,107.0,232.0,0.07482461667716866,0.0008364548623102708,107.0,232.0
114,1304,471,59677,8234,691976,0.03711667365365284,0.00019430190851394083,231.0,383.0,0.03711667365365284,0.00019430190851394083,231.0,383.0
115,1305,379,49077,10910,691976,0.07595324454716967,0.0002872995975998324,103.0,348.0,0.07595324454716967,0.0002872995975998324,103.0,348.0
116,1306,418,73120,7241,691975,0.04144250360568668,0.0001294249598394055,205.0,406.0,0.04144250360568668,0.0001294249598394055,205.0,406.0
117,1301,691,8998,36917,691974,0.07731616545998689,0.00854668699438333,101.0,43.0,0.07731616545998689,0.00854668699438333,101.0,43.0
118,1314,697,35848,21770,691974,0.044811849924558826,0.0005384680194753209,197.0,273.0,0.044811849924558826,0.0005384680194753209,197.0,273.0
119,1312,798,14323,34718,691975,0.05451912990496291,0.003373047215997553,152.0,92.0,0.05451912990496291,0.003373047215997553,152.0,92.0
120,1311,630,54187,12677,691975,0.031940035273368604,0.00023566776840980863,267.0,368.0,0.031940035273368604,0.00023566776840980863,267.0,368.0
121,1313,625,63115,9890,691976,0.0253184,0.00017371041540954193,317.0,393.0,0.0253184,0.00017371041540954193,317.0,393.0
122,1302,845,25839,34130,691976,0.0477994467980813,0.0010364291712142884,179.0,195.0,0.0477994467980813,0.0010364291712142884,179.0,195.0
123,1303,814,34531,20258,691974,0.030573682907835242,0.0005803252481425412,280.0,267.0,0.030573682907835242,0.0005803252481425412,280.0,267.0
124,1309,723,22180,28058,691975,0.05367599654888097,0.0014065893366919239,157.0,164.0,0.05367599654888097,0.0014065893366919239,157.0,164.0
125,1308,1084,26281,34108,691976,0.029026701706131454,0.0010018605122588248,293.0,203.0,0.029026701706131454,0.0010018605122588248,293.0,203.0
126,1310,831,54336,25574,691976,0.03703365814171376,0.0002343773845000215,233.0,370.0,0.03703365814171376,0.0002343773845000215,233.0,370.0
127,1307,367,64116,6601,691975,0.049009198969477835,0.000168328465312308,174.0,395.0,0.049009198969477835,0.000168328465312308,174.0,395.0
128,1501,120,27418,5659,680496,0.3929861111111111,0.0009052197745260809,3.0,218.0,0.3929861111111111,0.0009052197745260809,3.0,218.0
